Company Name or Owners's Name,City,Company type,building,address,full_address
Henderson & Ross,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
G. Hedstrom,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Jason E. Herrick,Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
Emory O. Hersey,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
John H. Heslan,Boston,Real Estate:,,1158 Columbus ave.,"1158 Columbus ave., Boston, Massachusetts, USA"
L. F. Herthel,Boston,Real Estate:,,924 Columbus ave.,"924 Columbus ave., Boston, Massachusetts, USA"
Frederick A. Higgins,Boston,Real Estate:,Old South bid,530,
George H. Hill,Boston,Real Estate:,,6 Beacon,"6 Beacon, Boston, Massachusetts, USA"
Arthur T. Hills,Boston,Real Estate:,,53 State,"53 State, Boston, Massachusetts, USA"
W. N. Hinckley,Boston,Real Estate:,,7 Water,"7 Water, Boston, Massachusetts, USA"
Frederick W. Hobbs,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Pinckney Holbrook,Boston,Real Estate:,,50 State,"50 State, Boston, Massachusetts, USA"
Wellington Holbrook,Boston,Real Estate:,Old So. bld.,1044,
Fred Holdsworth,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Geo. F. Holl,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
James L. Holland,Boston,Real Estate:,,2 A. Beacon,"2 A. Beacon, Boston, Massachusetts, USA"
Hood Land Co.,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
Edward L. Hopkins,Boston,Real Estate:,,362 Brdwy. S. Box.,"362 Brdwy. S. Box., Boston, Massachusetts, USA"
Frank T. Horgan,Boston,Real Estate:,,"360 Bdwy, S. Box.","360 Bdwy, S. Box., Boston, Massachusetts, USA"
S. L. Horner,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Hosford & Williams,Boston,Real Estate:,,85 Devonshire,"85 Devonshire, Boston, Massachusetts, USA"
Houghton & Rich,Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
E. H. Houston,Boston,Real Estate:,,Mattapan,"Mattapan, Boston, Massachusetts, USA"
Chas. W. Howard & Son,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
J. Murray Howe,Boston,Real Estate:,,28 State,"28 State, Boston, Massachusetts, USA"
J. R. Hubbard,Boston,Real Estate:,Old South bldg.,615,
Clarence G. Hughes & Co.,Boston,Real Estate:,,201 Dev.,"201 Dev., Boston, Massachusetts, USA"
James M. Hughes,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Humboldt Rl Est. Co.,Boston,Real Estate:,,108 Humboldt av,"108 Humboldt av, Boston, Massachusetts, USA"
Edward A. Hunting,Boston,Real Estate:,,21 Bromfield,"21 Bromfield, Boston, Massachusetts, USA"
Simon Hurwits,Boston,Real Estate:,,62 Walnut Park,"62 Walnut Park, Boston, Massachusetts, USA"
John H. Hyman,Boston,Real Estate:,,9 Northfield,"9 Northfield, Boston, Massachusetts, USA"
Ingalls & Martin,Boston,Real Estate:,,181 Tremont,"181 Tremont, Boston, Massachusetts, USA"
Charles A. Isenbeck,Boston,Real Estate:,,95 Milk,"95 Milk, Boston, Massachusetts, USA"
Harry Isenberg,Boston,Real Estate:,,30 Court,"30 Court, Boston, Massachusetts, USA"
H. F. Jackson,Boston,Real Estate:,,5 Lenox,"5 Lenox, Boston, Massachusetts, USA"
Jacob Jacoba,Boston,Real Estate:,,43 Tremont,"43 Tremont, Boston, Massachusetts, USA"
Robt. T. Fowler,Boston,Real Estate:,,"708 Centre, Jamaica Plain","708 Centre, Jamaica Plain, Boston, Massachusetts, USA"
Arthur H. James,Boston,Real Estate:,,480 Broadway,"480 Broadway, Boston, Massachusetts, USA"
John Jeffries & Sons,Boston,Real Estate:,Barristers Hall,819,
W. H. Jenkins,Boston,Real Estate:,,18 Kendall,"18 Kendall, Boston, Massachusetts, USA"
C. Jennings,Boston,Real Estate:,Old South bldg.,1088,
A. Konrad Johnson,Boston,Real Estate:,,84 State,"84 State, Boston, Massachusetts, USA"
A. M. Johnson,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
D. Webster Johnson,Boston,Real Estate:,Old South bldg.,542,
Frank Johnson,Boston,Real Estate:,,33s Warren,"33s Warren, Boston, Massachusetts, USA"
Oscar Johnson,Boston,Real Estate:,,60 Bromfield,"60 Bromfield, Boston, Massachusetts, USA"
Charles J. Johnston,Boston,Real Estate:,,60 Munroe,"60 Munroe, Boston, Massachusetts, USA"
"John J. Johnston, Jr.",Boston,Real Estate:,,66 Falmouth,"66 Falmouth, Boston, Massachusetts, USA"
I. E. H. Jones,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
R. F. Jordon & Co.,Boston,Real Estate:,,East Boston,"East Boston, Boston, Massachusetts, USA"
Sanford Joyce,Boston,Real Estate:,,42 Court,"42 Court, Boston, Massachusetts, USA"
C. Ernest Judkins,Boston,Real Estate:,,"599 E. Bdwy, S. Box.","599 E. Bdwy, S. Box., Boston, Massachusetts, USA"
C. S. Judkins,Boston,Real Estate:,Old South bldg.,935,
Samuel Jukes & Geo. B. French,Boston,Real Estate:,Old South bldg.,234,
Lewis Kalls,Boston,Real Estate:,,258 Washington,"258 Washington, Boston, Massachusetts, USA"
Eugene J. Karge,Boston,Real Estate:,Tremont bldg.,906,
Lewis P. Kaufman,Boston,Real Estate:,,28 School,"28 School, Boston, Massachusetts, USA"
William Kaufman,Boston,Real Estate:,,7 Kemble,"7 Kemble, Boston, Massachusetts, USA"
P. A. Kearns,Boston,Real Estate:,,286 Blue Hill ave.,"286 Blue Hill ave., Boston, Massachusetts, USA"
S. W. Keene & Son,Boston,Real Estate:,,"300 Warren, Rox.","300 Warren, Rox., Boston, Massachusetts, USA"
Henry W. Kelly,Boston,Real Estate:,,58 Warren,"58 Warren, Boston, Massachusetts, USA"
F. J. Kessier & Co.,Boston,Real Estate:,,161 Devonshire,"161 Devonshire, Boston, Massachusetts, USA"
John F. Kilduff,Boston,Real Estate:,,160 Appleton,"160 Appleton, Boston, Massachusetts, USA"
John C. Kiley,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
T. F. Killeen,Boston,Real Estate:,,1143 Columbus ave.,"1143 Columbus ave., Boston, Massachusetts, USA"
F. W. Kilpatrick,Boston,Real Estate:,,44 Worcester,"44 Worcester, Boston, Massachusetts, USA"
George E. Kimball,Boston,Real Estate:,,360 Warren,"360 Warren, Boston, Massachusetts, USA"
Geo. W. Kimball & Co.,Boston,Real Estate:,,172 Col. ave.,"172 Col. ave., Boston, Massachusetts, USA"
Kimball & Butterfield,Boston,Real Estate:,,,
King Bros.,Boston,Real Estate:,,294 Washington,"294 Washington, Boston, Massachusetts, USA"
D. Webster King,Boston,Real Estate:,,70 State,"70 State, Boston, Massachusetts, USA"
Harold G. King,Boston,Real Estate:,,200 Devonshire,"200 Devonshire, Boston, Massachusetts, USA"
Joseph H. King,Boston,Real Estate:,,9 City Sq.. Charleston,"9 City Sq.. Charleston, Boston, Massachusetts, USA"
E. M. Kingsley,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Edw J. Kronan,Boston,Real Estate:,,478 Broadway,"478 Broadway, Boston, Massachusetts, USA"
Abraham Kurinsky,Boston,Real Estate:,,15 Court Square,"15 Court Square, Boston, Massachusetts, USA"
John S. Lamprey,Boston,Real Estate:,,14 James,"14 James, Boston, Massachusetts, USA"
W. R. Landers,Boston,Real Estate:,,Mattapan,"Mattapan, Boston, Massachusetts, USA"
Mrs. M. Talbot Lane,Boston,Real Estate:,,15 School,"15 School, Boston, Massachusetts, USA"
Lester D. Langley,Boston,Real Estate:,,79 Milk,"79 Milk, Boston, Massachusetts, USA"
Lunnin Realty Co.,Boston,Real Estate:,,Forest Hills,"Forest Hills, Boston, Massachusetts, USA"
F. DeWitt Lapham,Boston,Real Estate:,,Somerville,"Somerville, Boston, Massachusetts, USA"
Benj. H. Lattime,Boston,Real Estate:,,Somerville,"Somerville, Boston, Massachusetts, USA"
Robert Lawton,Boston,Real Estate:,,24 Milk,"24 Milk, Boston, Massachusetts, USA"
I. N. Learned,Boston,Real Estate:,,674½ Tremont,"674½ Tremont, Boston, Massachusetts, USA"
Max Lebowich & Sons,Boston,Real Estate:,,1 Washington,"1 Washington, Boston, Massachusetts, USA"
Charles E. Lee,Boston,Real Estate:,,96 Milk,"96 Milk, Boston, Massachusetts, USA"
Luther W. Lee,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
Legg & Hall,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
P. F. Leland,Boston,Real Estate:,,31 Milk,"31 Milk, Boston, Massachusetts, USA"
Louis Levin,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
C. H. Lewis,Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
E. J. Lewis,Boston,Real Estate:,,260 Hunt ave.,"260 Hunt ave., Boston, Massachusetts, USA"
Mark Lewis,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
H. Libbey & Son,Boston,Real Estate:,Old South bldg.,913,
A. V. Lincoln,Boston,Real Estate:,,209 Washington,"209 Washington, Boston, Massachusetts, USA"
Wm. Lincoln & Son,Boston,Real Estate:,,27 State,"27 State, Boston, Massachusetts, USA"
Mason & Bissel Co.,Boston,Real Estate:,,12 Clarendon,"12 Clarendon, Boston, Massachusetts, USA"
Mass. Real Estate Co.,Boston,Real Estate:,,20 Beacon,"20 Beacon, Boston, Massachusetts, USA"
Masa. Real Estate Exchange,Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
D. M. Marrison,Boston,Real Estate:,Old South bldg.,331,
Frederick E. Martin,Boston,Real Estate:,,1374 Washington,"1374 Washington, Boston, Massachusetts, USA"
Ernest L. Mason,Boston,Real Estate:,,1101 Tremont,"1101 Tremont, Boston, Massachusetts, USA"
Frank S. Mason,Boston,Real Estate:,Dexter Row,3,
Martin Realty Co.,Boston,Real Estate:,,1368 Washington,"1368 Washington, Boston, Massachusetts, USA"
C. A. McIntosh Co.,Boston,Real Estate:,Tremont bldg.,648,
L. T. McKenney,Boston,Real Estate:,,120 Franklin,"120 Franklin, Boston, Massachusetts, USA"
J. H. McKenzie,Boston,Real Estate:,,550 Shawmut ave.,"550 Shawmut ave., Boston, Massachusetts, USA"
Thos. W. McQuaide Co.,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
John A. McPherson Co.,Boston,Real Estate:,,Brighton,"Brighton, Boston, Massachusetts, USA"
McPherson & Co.,Boston,Real Estate:,,Brighton,"Brighton, Boston, Massachusetts, USA"
James McTigue,Boston,Real Estate:,,Brighton,"Brighton, Boston, Massachusetts, USA"
Patrick Meehan,Boston,Real Estate:,,Jamaica Plain,"Jamaica Plain, Boston, Massachusetts, USA"
Mercantile Wharf Corp.,Boston,Real Estate:,,88 Clinton,"88 Clinton, Boston, Massachusetts, USA"
Wm. L. Mercer,Boston,Real Estate:,,50 School,"50 School, Boston, Massachusetts, USA"
Meredith & Grew,Boston,Real Estate:,,15 Congres,"15 Congres, Boston, Massachusetts, USA"
Walter E. Merriam,Boston,Real Estate:,,Jamaica Plain,"Jamaica Plain, Boston, Massachusetts, USA"
C. F. Meyer,Boston,Real Estate:,,Jamaica,"Jamaica, Boston, Massachusetts, USA"
Edward B. Miles,Boston,Real Estate:,,27 State,"27 State, Boston, Massachusetts, USA"
Robert F. Miller,Boston,Real Estate:,Tremont bldg.,544,
Samuel S. Miller,Boston,Real Estate:,Old South bldg.,949,
F. L. Millett,Boston,Real Estate:,,628 Tremont,"628 Tremont, Boston, Massachusetts, USA"
Geo. A. Millet & Co.,Boston,Real Estate:,,57 Warren,"57 Warren, Boston, Massachusetts, USA"
F. D. G. Mitchell,Boston,Real Estate:,,1001 Tremont,"1001 Tremont, Boston, Massachusetts, USA"
James W. Mogan,Boston,Real Estate:,,E. Boston,"E. Boston, Boston, Massachusetts, USA"
Robert M. Molineux,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
Monaton Rlty Investing Corp.,Boston,Real Estate:,,35 Cong.,"35 Cong., Boston, Massachusetts, USA"
Carl F. Monk,Boston,Real Estate:,,50 State,"50 State, Boston, Massachusetts, USA"
H. B. Moody Land Co.,Boston,Real Estate:,Old South bld.,529,
Chas. P. Mooney,Boston,Real Estate:,,70 Kilby,"70 Kilby, Boston, Massachusetts, USA"
E. E. Morrill,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
M. L. Morrison,Boston,Real Estate:,,34 School,"34 School, Boston, Massachusetts, USA"
J. H. Morse,Boston,Real Estate:,,27 State,"27 State, Boston, Massachusetts, USA"
Sylvanus G. Morse,Boston,Real Estate:,Tremont bldg.,647,
George W. Mudgett,Boston,Real Estate:,,467¼ Dudley,"467¼ Dudley, Boston, Massachusetts, USA"
Peter J. Mullen,Boston,Real Estate:,,Jamaica Plain,"Jamaica Plain, Boston, Massachusetts, USA"
Walter E. Mullett,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
T. B. Munroe,Boston,Real Estate:,Tremont bldg.,444,
Mutual Real Estate Co.,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
M. I. Mydans,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
J. L. Nason,Boston,Real Estate:,Tremont bldg.,408,
Henry J. Nazro,Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
Herbert F. Nelson,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
Israel Nelson,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
A. Neustadt,Boston,Real Estate:,,861A Dudley,"861A Dudley, Boston, Massachusetts, USA"
F. A. Newell,Boston,Real Estate:,,55 Warren ave.,"55 Warren ave., Boston, Massachusetts, USA"
Chas. A. Newhall,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Cheever Newhall,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Elbridge K. Newhall,Boston,Real Estate:,,79 Milk,"79 Milk, Boston, Massachusetts, USA"
Newhall & Newhall,Boston,Real Estate:,,Brighton,"Brighton, Boston, Massachusetts, USA"
Sewall E. Newman,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
"John F. Newton, Jr.",Boston,Real Estate:,,15 Exchange,"15 Exchange, Boston, Massachusetts, USA"
Alexander Nicholson,Boston,Real Estate:,,1006 Tremont,"1006 Tremont, Boston, Massachusetts, USA"
E. C. Nickerson,Boston,Real Estate:,,Jamaica Plain,"Jamaica Plain, Boston, Massachusetts, USA"
J. W. Nightingale,Boston,Real Estate:,,18 James,"18 James, Boston, Massachusetts, USA"
J. Harris Niles,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
L. V. Niles,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
Arthur J. Noble,Boston,Real Estate:,,Uphams Corner,"Uphams Corner, Boston, Massachusetts, USA"
Noble & Myers,Boston,Real Estate:,,588 Tremont,"588 Tremont, Boston, Massachusetts, USA"
Northern Land Co.,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
Bennett Norwich,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Frank A. Noyes,Boston,Real Estate:,Old South bldg.,713,
Joshua T. Nowell,Boston,Real Estate:,,42 Court,"42 Court, Boston, Massachusetts, USA"
Geo. A. Nute,Boston,Real Estate:,,3 W. Canton,"3 W. Canton, Boston, Massachusetts, USA"
Wm. Pease O'Brien,Boston,Real Estate:,,84 State,"84 State, Boston, Massachusetts, USA"
Lionel E. O'Hara,Boston,Real Estate:,Ames bldg.,40,
Wm. Pende O'Brien,Boston,Real Estate:,,84 State,"84 State, Boston, Massachusetts, USA"
Jos. C. O'Neil,Boston,Real Estate:,,433 Hanover,"433 Hanover, Boston, Massachusetts, USA"
Thomas O'Neil,Boston,Real Estate:,,216 Bowdoin,"216 Bowdoin, Boston, Massachusetts, USA"
Martin O'Shaughnessy,Boston,Real Estate:,,555 Warren,"555 Warren, Boston, Massachusetts, USA"
A. T. Paddock,Boston,Real Estate:,,262 Washington,"262 Washington, Boston, Massachusetts, USA"
Bailey L. Page,Boston,Real Estate:,,Jamaica,"Jamaica, Boston, Massachusetts, USA"
Frederick W. Paine,Boston,Real Estate:,,28 State,"28 State, Boston, Massachusetts, USA"
Park Land Co.,Boston,Real Estate:,,15 School,"15 School, Boston, Massachusetts, USA"
G. Frederick Parker,Boston,Real Estate:,,21 Bromfield,"21 Bromfield, Boston, Massachusetts, USA"
Geo. S. Parker,Boston,Real Estate:,,28 State,"28 State, Boston, Massachusetts, USA"
Wm. D. Parker,Boston,Real Estate:,,40 State,"40 State, Boston, Massachusetts, USA"
Silas E. Parsons,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Partridge & Smith,Boston,Real Estate:,,672 Tremont,"672 Tremont, Boston, Massachusetts, USA"
F. Alfred Patterson,Boston,Real Estate:,,7 Water,"7 Water, Boston, Massachusetts, USA"
Wm. J. Paul,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
G. W. Peckham,Boston,Real Estate:,,362 Washington,"362 Washington, Boston, Massachusetts, USA"
Pelkey-Wallace Co.,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
A. E. Pendleton,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Isabelle Pendleton,Boston,Real Estate:,,19 Green,"19 Green, Boston, Massachusetts, USA"
A. D. Pennycuick,Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
Henry G. Perkins,Boston,Real Estate:,,77 Summer,"77 Summer, Boston, Massachusetts, USA"
A. W. Perry,Boston,Real Estate:,,105 Summer,"105 Summer, Boston, Massachusetts, USA"
Otis H. Perry,Boston,Real Estate:,Tremont bldg.,929,
Ralph D. Perry,Boston,Real Estate:,Old South bldg.,1134,
C. O. Peters & Co.,Boston,Real Estate:,,10 Tremont,"10 Tremont, Boston, Massachusetts, USA"
John G. Peters,Boston,Real Estate:,Tremont bldg.,1117,
D. K. & L. H. Phillips,Boston,Real Estate:,,161 Pearl,"161 Pearl, Boston, Massachusetts, USA"
Thomas F. Phillips,Boston,Real Estate:,Tremont bldg.,115,
A. P. Phinney,Boston,Real Estate:,,2185 Washington,"2185 Washington, Boston, Massachusetts, USA"
Phinney & Hill,Boston,Real Estate:,,2414 Washington,"2414 Washington, Boston, Massachusetts, USA"
J. B. Phipps,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Nathan Pinanski,Boston,Real Estate:,,34 School,"34 School, Boston, Massachusetts, USA"
Pinedale Park Land Co.,Boston,Real Estate:,Old S. bld.,1030,
Fred E. Pond,Boston,Real Estate:,,44 Humboldt ave.,"44 Humboldt ave., Boston, Massachusetts, USA"
Poole & Bigelow,Boston,Real Estate:,,70 Kilby,"70 Kilby, Boston, Massachusetts, USA"
Clarence H. Poor,Boston,Real Estate:,,85 Water,"85 Water, Boston, Massachusetts, USA"
Harris Poorin,Boston,Real Estate:,,48 Tremont,"48 Tremont, Boston, Massachusetts, USA"
Alex S. Porter,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
W. E. Porter,Boston,Real Estate:,,26 Pemberton Square,"26 Pemberton Square, Boston, Massachusetts, USA"
C. E. Powers & Co.,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
M. J. Powers,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Earl W. Pratt,Boston,Real Estate:,,786 Washington,"786 Washington, Boston, Massachusetts, USA"
Josiah F. Prescott,Boston,Real Estate:,,209 Washington,"209 Washington, Boston, Massachusetts, USA"
Geo. A. Proctor,Boston,Real Estate:,,85 Court,"85 Court, Boston, Massachusetts, USA"
Quincy & Co.,Boston,Real Estate:,,28 School,"28 School, Boston, Massachusetts, USA"
H. M. Rambach,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Frank N. Rand,Boston,Real Estate:,,27 State,"27 State, Boston, Massachusetts, USA"
Beverly Rantoul,Boston,Real Estate:,State Mut. bldg.,731,
Realty Investment Co.,Boston,Real Estate:,,209 Washington,"209 Washington, Boston, Massachusetts, USA"
Ralph W. Redding,Boston,Real Estate:,,7 Water,"7 Water, Boston, Massachusetts, USA"
E. T. Redmond & Co.,Boston,Real Estate:,,85 Devonshire,"85 Devonshire, Boston, Massachusetts, USA"
Jacob Reeves,Boston,Real Estate:,,70 State,"70 State, Boston, Massachusetts, USA"
Geo. S. Rice,Boston,Real Estate:,,7 Water,"7 Water, Boston, Massachusetts, USA"
D. Bradley Rich & Co.,Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
E. E. Richards,Boston,Real Estate:,,75 Warren,"75 Warren, Boston, Massachusetts, USA"
E. H. & H. N. Richards,Boston,Real Estate:,,114 State,"114 State, Boston, Massachusetts, USA"
Richards Real Estate Co.,Boston,Real Estate:,,76 Warren,"76 Warren, Boston, Massachusetts, USA"
W. S. Richards,Boston,Real Estate:,,Allerton,"Allerton, Boston, Massachusetts, USA"
Benj. P. Richardson,Boston,Real Estate:,Sears bldg.,402,
Malbon Gore Richardson,Boston,Real Estate:,,50 Congress,"50 Congress, Boston, Massachusetts, USA"
J. J. Riley & Co.,Boston,Real Estate:,,42 Court,"42 Court, Boston, Massachusetts, USA"
A. O. Roberts,Boston,Real Estate:,Tremont Temple,700,
Leslie M. Roberts,Boston,Real Estate:,,79 Milk,"79 Milk, Boston, Massachusetts, USA"
Raymond Roberts,Boston,Real Estate:,,780 Tremont,"780 Tremont, Boston, Massachusetts, USA"
A. Arthur Robinson,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
Hyman S. Robinson,Boston,Real Estate:,,102 Brighton,"102 Brighton, Boston, Massachusetts, USA"
Ira W. Shapira.,Boston,Real Estate:,,30 Court,"30 Court, Boston, Massachusetts, USA"
"J. Shapiro,",Boston,Real Estate:,,East Boston,"East Boston, Boston, Massachusetts, USA"
"Sann & Eastman,",Boston,Real Estate:,,W. Roxbury,"W. Roxbury, Boston, Massachusetts, USA"
Edward Sharp.,Boston,Real Estate:,Old South bldg,,"Old South bldg, Boston, Massachusetts, USA"
"Wm. & Edwin Sheafe,",Boston,Real Estate:,,153 Milk,"153 Milk, Boston, Massachusetts, USA"
"Max Shoolman,",Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
"Max Silk,",Boston,Real Estate:,,1 Beacon,"1 Beacon, Boston, Massachusetts, USA"
M. Sliva.,Boston,Real Estate:,,29 Tyler,"29 Tyler, Boston, Massachusetts, USA"
"Silverman & Shapiro,",Boston,Real Estate:,,28 Hollander,"28 Hollander, Boston, Massachusetts, USA"
"S. Sirk,",Boston,Real Estate:,,1525 Washington,"1525 Washington, Boston, Massachusetts, USA"
"C. Edmund Skerry,",Boston,Real Estate:,,79 Milk,"79 Milk, Boston, Massachusetts, USA"
"J. H. Skillings,",Boston,Real Estate:,,201 Devonshire,"201 Devonshire, Boston, Massachusetts, USA"
"John W. Slavin,",Boston,Real Estate:,,143 Federal,"143 Federal, Boston, Massachusetts, USA"
Stephen W. Sleeper.,Boston,Real Estate:,,31 Milk,"31 Milk, Boston, Massachusetts, USA"
"Edwin S. Small,",Boston,Real Estate:,,153 Milk,"153 Milk, Boston, Massachusetts, USA"
"B. R. Smith,",Boston,Real Estate:,Old South bldg.,,"Old South bldg., Boston, Massachusetts, USA"
"Franklin L. Smith,",Boston,Real Estate:,,178 Devonshire,"178 Devonshire, Boston, Massachusetts, USA"
"Fred M. Smith,",Boston,Real Estate:,,17 India,"17 India, Boston, Massachusetts, USA"
"George B. Smith,",Boston,Real Estate:,,2414 Washington,"2414 Washington, Boston, Massachusetts, USA"
G. M. Smith.,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
"Herbert E. Smith,",Boston,Real Estate:,,Forest Hills,"Forest Hills, Boston, Massachusetts, USA"
"O. O. Smith,",Boston,Real Estate:,,Hull,"Hull, Boston, Massachusetts, USA"
"Smith & Co.,",Boston,Real Estate:,,171 W. Springfield,"171 W. Springfield, Boston, Massachusetts, USA"
"Smith & Sylvester,",Boston,Real Estate:,,17 Milk,"17 Milk, Boston, Massachusetts, USA"
"Seth J. Snow, Jr.",Boston,Real Estate:,Equitable bldg.,,"Equitable bldg., Boston, Massachusetts, USA"
"Seth J. Snow,",Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
"W. H. Solomon,",Boston,Real Estate:,,79 Milk,"79 Milk, Boston, Massachusetts, USA"
"S. Solomont & Sons,",Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
"C. S. Spencer,",Boston,Real Estate:,,80 Court st.,"80 Court st., Boston, Massachusetts, USA"
"Albert H. M. Spiller,",Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
"Edwin R. Spanney,",Boston,Real Estate:,,286 K,"286 K, Boston, Massachusetts, USA"
"E. F. Sprague,",Boston,Real Estate:,,27 State,"27 State, Boston, Massachusetts, USA"
"Springfield, Mass., Real Estate",Boston,Real Estate:,,,
"Squire Real Estate Trust,",Boston,Real Estate:,,18 Central,"18 Central, Boston, Massachusetts, USA"
"J. & J. F. Stackpole,",Boston,Real Estate:,,Winter Hill,"Winter Hill, Boston, Massachusetts, USA"
"W. W. Stall,",Boston,Real Estate:,,7 Water,"7 Water, Boston, Massachusetts, USA"
"Frederick J. Stark,",Boston,Real Estate:,Old South bldg,,"Old South bldg, Boston, Massachusetts, USA"
"Steere & Rankin,",Boston,Real Estate:,Old South bldg,,"Old South bldg, Boston, Massachusetts, USA"
"Steere & Courtnell,",Boston,Real Estate:,Old South bldg,,"Old South bldg, Boston, Massachusetts, USA"
"David Stern,",Boston,Real Estate:,,28 State,"28 State, Boston, Massachusetts, USA"
"Bernard Steurer,",Boston,Real Estate:,,Allston,"Allston, Boston, Massachusetts, USA"
"Susan E. Stevens & Co.,",Boston,Real Estate:,,100 Bylston,"100 Bylston, Boston, Massachusetts, USA"
"James H. Stokes,",Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
"John H. Storer,",Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
"E. A. Strout Farm Agency,",Boston,Real Estate:,,294 Wash,"294 Wash, Boston, Massachusetts, USA"
"Sub Realty Co.,",Boston,Real Estate:,,81 Milk,"81 Milk, Boston, Massachusetts, USA"
"Suburban Land Co.,",Boston,Real Estate:,Old South bldg,,"Old South bldg, Boston, Massachusetts, USA"
"John H. Sullivan,",Boston,Real Estate:,,15 Court Square,"15 Court Square, Boston, Massachusetts, USA"
"Swithin & Merrill,",Boston,Real Estate:,Old South bldg,,"Old South bldg, Boston, Massachusetts, USA"
"Arthur H. Taber & Coffin,",Boston,Real Estate:,,24 Milk,"24 Milk, Boston, Massachusetts, USA"
"Taft & Waite,",Boston,Real Estate:,,Allston,"Allston, Boston, Massachusetts, USA"
